"","box","Laid","Hatch","Fledge","Fail","year","site"
"1","",NA,NA,NA,NA,2022,""
"2","Z28",2022-04-18,2022-05-08,NA,2022-05-21,2022,"Z"
"3","Z35",2022-04-12,2022-05-02,2022-06-05,NA,2022,"Z"
"4","Y22",2022-04-17,2022-05-08,2022-06-13,NA,2022,"Y"
"5","Z09",2022-04-15,2022-05-03,2022-06-07,NA,2022,"Z"
"6","Y01",2022-04-15,2022-05-04,2022-06-08,NA,2022,"Y"
"7","Z11",2022-04-14,2022-05-04,2022-06-09,NA,2022,"Z"
"8","Y17",2022-04-14,2022-05-03,NA,2022-05-10,2022,"Y"
"9","Y23",2022-04-06,2022-04-25,2022-05-30,NA,2022,"Y"
"10","Y07",2022-04-16,2022-05-05,NA,2022-05-17,2022,"Y"
"11","Y16",2022-04-15,2022-05-03,2022-06-09,NA,2022,"Y"
"12","Y19",NA,NA,NA,2022-04-24,2022,"Y"
"13","Y30",2022-04-18,2022-05-06,2022-06-11,NA,2022,"Y"
"14","Z14",2022-04-11,2022-04-30,2022-06-05,NA,2022,"Z"
"15","Z19",2022-04-17,2022-05-05,NA,2022-05-08,2022,"Z"
"16","Y10",2022-04-09,2022-04-29,2022-06-01,NA,2022,"Y"
"17","Z41",2022-04-10,2022-04-29,NA,2022-05-06,2022,"Z"
"18","Z03",2022-04-11,2022-05-02,2022-06-06,NA,2022,"Z"
"19","Z39",2022-04-11,2022-05-02,2022-06-07,NA,2022,"Z"
"20","Z17",2022-04-12,2022-05-01,NA,2022-05-03,2022,"Z"
"21","Z45",2022-04-12,2022-05-01,2022-06-07,NA,2022,"Z"
"22","Y08",2022-04-12,2022-05-01,2022-06-06,NA,2022,"Y"
"23","Y04",2022-04-12,2022-05-01,2022-06-07,NA,2022,"Y"
"24","Y11",2022-04-12,2022-05-01,2022-06-06,NA,2022,"Y"
"25","Y24",2022-04-13,2022-05-02,2022-06-06,NA,2022,"Y"
"26","Z15",2022-04-13,2022-05-02,NA,2022-05-04,2022,"Z"
"27","Z13",2022-04-13,2022-05-02,2022-06-05,NA,2022,"Z"
"28","Z06",2022-04-13,2022-05-05,NA,2022-05-14,2022,"Z"
"29","X31",2022-04-12,2022-05-02,2022-06-06,NA,2022,"X"
"30","X35",2022-04-12,2022-05-02,2022-06-02,NA,2022,"X"
"31","X38",2022-04-12,2022-05-01,2022-06-07,NA,2022,"X"
"32","X25",2022-04-13,2022-05-02,2022-06-06,NA,2022,"X"
"33","X18",2022-04-14,2022-05-03,2022-06-09,NA,2022,"X"
"34","X33",2022-04-14,2022-05-03,2022-06-06,NA,2022,"X"
"35","Y28",2022-04-14,2022-05-03,2022-06-06,NA,2022,"Y"
"36","Y35",2022-04-14,2022-05-03,NA,2022-05-21,2022,"Y"
"37","Z43",2022-04-14,2022-05-05,2022-06-07,NA,2022,"Z"
"38","Z16",2022-04-14,2022-05-04,2022-06-10,NA,2022,"Z"
"39","Z23",2022-04-14,2022-05-04,2022-06-08,NA,2022,"Z"
"40","Z29",2022-04-14,2022-05-04,2022-06-03,NA,2022,"Z"
"41","Z08",2022-04-15,2022-05-06,2022-06-09,NA,2022,"Z"
"42","Z05",2022-04-15,2022-05-04,2022-06-07,NA,2022,"Z"
"43","Z02",2022-04-15,2022-05-05,2022-06-08,NA,2022,"Z"
"44","Y09",2022-04-15,2022-05-04,NA,2022-05-14,2022,"Y"
"45","Y05",2022-04-15,2022-05-05,2022-06-07,NA,2022,"Y"
"46","Y03",2022-04-17,2022-05-06,NA,2022-05-08,2022,"Y"
"47","Z40",2022-04-16,2022-05-05,2022-06-08,NA,2022,"Z"
"48","Z07",2022-04-16,NA,NA,2022-05-17,2022,"Z"
"49","Z20",2022-04-21,2022-05-10,2022-06-11,NA,2022,"Z"
"50","Y26",2022-04-19,2022-05-08,2022-06-12,NA,2022,"Y"
"51","X22",2022-04-17,2022-05-06,2022-06-11,NA,2022,"X"
"52","X36",2022-04-17,2022-05-04,2022-06-11,NA,2022,"X"
"53","Y02",2022-04-17,2022-05-06,NA,2022-05-26,2022,"Y"
"54","Y18",2022-04-17,2022-05-05,2022-06-12,NA,2022,"Y"
"55","Z18",2022-04-17,2022-05-07,NA,2022-06-11,2022,"Z"
"56","Z24",2022-04-17,2022-05-07,2022-06-11,NA,2022,"Z"
"57","Z26",2022-04-17,2022-05-06,2022-06-14,NA,2022,"Z"
"58","Z27",2022-04-17,2022-05-07,2022-06-11,NA,2022,"Z"
"59","Z31",2022-04-17,2022-05-06,NA,2022-05-13,2022,"Z"
"60","Z38",2022-04-17,2022-05-06,2022-06-14,NA,2022,"Z"
"61","Z42",2022-04-17,2022-05-07,2022-06-12,NA,2022,"Z"
"62","Z10",2022-04-18,2022-05-06,2022-06-10,NA,2022,"Z"
"63","Z21",2022-04-18,2022-05-08,2022-06-10,NA,2022,"Z"
"64","Z25",2022-04-18,2022-05-06,2022-06-10,NA,2022,"Z"
"65","Z44",2022-04-18,2022-05-09,NA,2022-05-10,2022,"Z"
"66","Y06",2022-04-18,2022-05-07,2022-06-10,NA,2022,"Y"
"67","Y14",2022-04-18,2022-05-07,2022-06-12,NA,2022,"Y"
"68","Y27",2022-04-18,2022-05-07,2022-06-12,NA,2022,"Y"
"69","Y32",2022-04-18,2022-05-08,2022-06-13,NA,2022,"Y"
"70","X39",2022-04-19,2022-05-08,2022-06-17,NA,2022,"X"
"71","Y25",2022-04-19,2022-05-07,2022-06-11,NA,2022,"Y"
"72","Y34",2022-04-19,2022-05-09,2022-06-13,NA,2022,"Y"
"73","Z30",2022-04-19,2022-05-08,2022-06-11,NA,2022,"Z"
"74","Z22",2022-04-19,NA,NA,2022-05-06,2022,"Z"
"75","X32",2022-04-20,2022-05-08,2022-06-14,NA,2022,"X"
"76","Z33",2022-04-20,2022-05-10,2022-06-14,NA,2022,"Z"
"77","X20",2022-04-21,2022-05-11,2022-06-14,NA,2022,"X"
"78","X21",2022-04-21,2022-05-10,2022-06-13,2023-06-05,2022,"X"
"79","Y12",2022-04-21,NA,NA,2022-05-16,2022,"Y"
"80","Z32",2022-04-22,NA,NA,2022-05-17,2022,"Z"
"81","Y33",2022-04-23,2022-05-11,2022-06-15,NA,2022,"Y"
"82","Y31",2022-04-24,2022-05-12,2022-06-17,NA,2022,"Y"
"83","X27",2022-04-26,NA,NA,2022-05-19,2022,"X"
"84","MW02",NA,NA,NA,NA,2022,"M"
"85","X23",NA,NA,NA,2022-05-03,2022,"X"
"86","Y20",NA,NA,NA,2022-04-24,2022,"Y"
"87","Y21",NA,NA,NA,2022-04-24,2022,"Y"
"88","Y29",NA,NA,NA,2022-04-24,2022,"Y"
"89","",NA,NA,NA,NA,2023,""
"90","Z28",2023-04-21,2023-05-10,2023-06-16,NA,2023,"Z"
"91","Z35",2023-04-15,2023-05-06,2023-06-11,NA,2023,"Z"
"92","Y22",2023-04-14,2023-05-03,2023-06-09,NA,2023,"Y"
"93","Z09",NA,NA,NA,NA,2023,"Z"
"94","Y01",2023-04-16,2023-05-05,2023-06-08,NA,2023,"Y"
"95","Z11",2023-04-16,2023-05-06,2023-06-11,NA,2023,"Z"
"96","Y17",2023-04-19,2023-05-09,2023-06-13,NA,2023,"Y"
"97","Y23",2023-04-11,2023-04-29,2023-06-03,NA,2023,"Y"
"98","Y07",2023-04-18,2023-05-07,2023-06-11,NA,2023,"Y"
"99","Y16",2023-05-08,NA,NA,2023-05-30,2023,"Y"
"100","Y19",2023-04-18,2023-05-07,2023-06-11,NA,2023,"Y"
"101","Y30",2023-04-18,2023-05-07,2023-06-11,NA,2023,"Y"
"102","Z14",2023-04-21,2023-05-10,2023-06-13,NA,2023,"Z"
"103","Z19",2023-04-14,2023-05-05,2023-06-09,NA,2023,"Z"
"104","Y10",2023-04-16,2023-05-06,2023-06-11,NA,2023,"Y"
"105","Z41",2023-04-12,2023-05-01,2023-06-04,NA,2023,"Z"
"106","Z03",2023-04-15,2023-05-03,2023-06-06,NA,2023,"Z"
"107","Z39",2023-04-11,2023-05-01,2023-06-07,NA,2023,"Z"
"108","Z17",2023-04-13,2023-05-03,2023-06-06,NA,2023,"Z"
"109","Z45",2023-04-21,2023-05-10,2023-06-16,NA,2023,"Z"
"110","Y08",2023-04-22,2023-05-10,2023-06-13,NA,2023,"Y"
"111","Y04",2023-04-19,2023-05-08,2023-06-13,NA,2023,"Y"
"112","Y11",2023-04-13,2023-05-04,2023-06-07,NA,2023,"Y"
"113","Y24",2023-04-15,2023-05-05,2023-06-07,NA,2023,"Y"
"114","Z15",2023-04-17,2023-05-07,2023-06-13,NA,2023,"Z"
"115","Z13",2023-04-14,2023-05-03,2023-06-03,NA,2023,"Z"
"116","Z06",2023-04-13,NA,NA,2023-04-18,2023,"Z"
"117","X31",2023-04-15,2023-05-05,2023-06-08,NA,2023,"X"
"118","X35",2023-04-19,2023-05-08,2023-06-10,NA,2023,"X"
"119","X38",2023-05-01,NA,NA,2023-05-02,2023,"X"
"120","X25",2023-04-18,2023-05-08,2023-06-11,NA,2023,"X"
"121","X18",2023-04-12,2023-05-02,NA,2023-06-03,2023,"X"
"122","X33",2023-04-15,2023-05-04,2023-06-08,NA,2023,"X"
"123","Y28",2023-04-15,2023-05-05,NA,2023-05-24,2023,"Y"
"124","Y35",2023-04-13,2023-05-02,2023-06-04,NA,2023,"Y"
"125","Z43",2023-04-16,NA,NA,2023-05-09,2023,"Z"
"126","Z16",2023-04-17,2023-05-07,2023-06-14,NA,2023,"Z"
"127","Z23",2023-04-23,2023-05-12,2023-06-17,NA,2023,"Z"
"128","Z29",2023-04-19,2023-05-08,2023-06-14,NA,2023,"Z"
"129","Z08",2023-04-16,2023-05-06,NA,2023-05-13,2023,"Z"
"130","Z05",2023-04-20,2023-05-05,2023-06-09,NA,2023,"Z"
"131","Z02",2023-04-15,NA,NA,2023-05-02,2023,"Z"
"132","Y09",2023-04-19,2023-05-09,NA,2023-05-16,2023,"Y"
"133","Y05",2023-04-16,2023-05-04,2023-06-10,NA,2023,"Y"
"134","Y03",2023-04-17,2023-05-06,2023-06-12,NA,2023,"Y"
"135","Z40",2023-04-19,2023-05-09,2023-06-11,NA,2023,"Z"
"136","Z07",2023-04-16,NA,NA,2023-05-08,2023,"Z"
"137","Z20",2023-04-22,2023-05-10,2023-06-15,NA,2023,"Z"
"138","Y26",2023-04-20,2023-05-09,2023-06-14,NA,2023,"Y"
"139","X22",2023-04-20,2023-05-08,2023-06-11,NA,2023,"X"
"140","X36",2023-04-17,2023-05-06,2023-06-09,NA,2023,"X"
"141","Y02",2023-04-14,2023-05-03,2023-06-07,NA,2023,"Y"
"142","Y18",2023-04-17,2023-05-06,2023-06-13,NA,2023,"Y"
"143","Z18",2023-04-21,2023-05-10,NA,2023-06-11,2023,"Z"
"144","Z24",2023-04-18,2023-05-08,2023-06-12,NA,2023,"Z"
"145","Z26",2023-04-17,2023-05-06,2023-06-11,NA,2023,"Z"
"146","Z27",2023-04-28,2023-05-16,2023-06-18,NA,2023,"Z"
"147","Z31",2023-04-11,2023-05-01,2023-06-05,NA,2023,"Z"
"148","Z38",2023-04-16,2023-05-06,2023-06-11,NA,2023,"Z"
"149","Z42",2023-04-21,2023-05-11,2023-06-15,NA,2023,"Z"
"150","Z10",2023-04-22,2023-05-09,2023-06-13,NA,2023,"Z"
"151","Z21",2023-04-21,2023-05-10,2023-06-13,NA,2023,"Z"
"152","Z25",2023-04-21,NA,NA,2023-05-16,2023,"Z"
"153","Z44",2023-04-19,NA,NA,2023-05-09,2023,"Z"
"154","Y06",2023-04-18,2023-05-08,NA,2023-05-12,2023,"Y"
"155","Y14",2023-04-28,2023-05-14,NA,2023-05-21,2023,"Y"
"156","Y27",2023-04-20,2023-05-09,2023-06-15,NA,2023,"Y"
"157","Y32",2023-04-20,2023-05-09,2023-06-16,NA,2023,"Y"
"158","X39",2023-04-17,2023-05-06,NA,2023-05-10,2023,"X"
"159","Y25",2023-04-22,2023-05-09,2023-06-14,NA,2023,"Y"
"160","Y34",2023-04-19,2023-05-10,NA,2023-05-15,2023,"Y"
"161","Z30",2023-04-20,2023-05-09,2023-06-12,NA,2023,"Z"
"162","Z22",2023-04-12,2023-05-03,2023-06-10,NA,2023,"Z"
"163","X32",2023-04-22,2023-05-11,2023-06-15,NA,2023,"X"
"164","Z33",2023-04-21,2023-05-10,2023-06-14,NA,2023,"Z"
"165","X20",2023-04-21,2023-05-10,NA,2023-05-29,2023,"X"
"166","X21",2023-04-17,2023-05-07,NA,2023-06-06,2023,"X"
"167","Y12",2023-04-22,2023-05-11,2023-06-16,NA,2023,"Y"
"168","Z32",2023-04-27,2023-05-17,2023-06-22,NA,2023,"Z"
"169","Y33",2023-04-30,2023-05-17,2023-06-22,NA,2023,"Y"
"170","Y31",2023-04-19,2023-05-08,NA,2023-05-13,2023,"Y"
"171","X27",2023-04-16,2023-05-03,2023-06-06,NA,2023,"X"
"172","MW02",NA,NA,NA,NA,2023,"M"
"173","X23",2023-04-17,2023-05-07,2023-06-10,NA,2023,"X"
"174","Y20",2023-04-15,2023-05-04,2023-06-09,NA,2023,"Y"
"175","Y21",NA,NA,NA,2023-05-04,2023,"Y"
"176","Y29",NA,NA,NA,2023-05-04,2023,"Y"
